Date,CardID,Price
2024-01-01,1812,0.09
2024-01-02,1812,0.1
2024-01-03,1812,0.12
2024-01-04,1812,0.12
2024-01-05,1812,0.14
2024-01-06,1812,0.16
2024-01-07,1812,0.18
2024-01-08,1812,0.18
2024-01-09,1812,0.18
2024-01-10,1812,0.18
2024-01-11,1812,0.19
2024-01-12,1812,0.21
2024-01-13,1812,0.21
2024-01-14,1812,0.21
2024-01-15,1812,0.2
2024-01-16,1812,0.2
2024-01-17,1812,0.23
2024-01-18,1812,0.21
2024-01-19,1812,0.2
2024-01-20,1812,0.2
2024-01-21,1812,0.4
2024-01-22,1812,0.34
2024-01-23,1812,0.34
2024-01-24,1812,0.32
2024-01-25,1812,0.28
2024-01-26,1812,0.28
2024-01-27,1812,0.28
2024-01-01,609,10.99
2024-01-02,609,10.49
2024-01-03,609,9.83
2024-01-04,609,9.18
2024-01-05,609,8.39
2024-01-06,609,8.39
2024-01-07,609,8.34
2024-01-08,609,8.13
2024-01-09,609,8.43
2024-01-10,609,9.36
2024-01-11,609,9.7
2024-01-12,609,9.7
2024-01-13,609,9.84
2024-01-14,609,10.14
2024-01-15,609,9.7
2024-01-16,609,9.43
2024-01-17,609,9.1
2024-01-18,609,8.79
2024-01-19,609,8.54
2024-01-20,609,8.2
2024-01-21,609,8.2
2024-01-22,609,8.2
2024-01-23,609,7.45
2024-01-24,609,7.42
2024-01-25,609,7.14
2024-01-26,609,7.14
2024-01-27,609,7.14
2024-01-01,990,1.31
2024-01-02,990,1.31
2024-01-03,990,1.31
2024-01-04,990,1.31
2024-01-05,990,1.31
2024-01-06,990,1.31
2024-01-07,990,1.31
2024-01-08,990,1.31
2024-01-09,990,1.31
2024-01-10,990,1.31
2024-01-11,990,1.31
2024-01-12,990,1.31
2024-01-13,990,1.28
2024-01-14,990,1.15
2024-01-15,990,1.21
2024-01-16,990,1.34
2024-01-17,990,1.34
2024-01-18,990,1.42
2024-01-19,990,1.53
2024-01-20,990,1.87
2024-01-21,990,1.75
2024-01-22,990,1.61
2024-01-23,990,1.61
2024-01-24,990,1.73
2024-01-25,990,1.87
2024-01-26,990,1.87
2024-01-27,990,1.87
2024-01-01,2280,0.21
2024-01-02,2280,0.21
2024-01-03,2280,0.2
2024-01-04,2280,0.2
